id,title,description,availability,condition,price,link,image_link,brand,additional_image_link,item_group_id,google_product_category,fb_product_category,product_type,sale_price
"SKU-020-1PCS","777 Sony Dish Wash Soap - Pack: 1Pcs","""Tough on Grease, Gentle on Hands — Unrivaled Kitchen Cleaning Power"" Master your kitchen cleanup with 777 Sony Dish Wash Soap by M. Essa Chemicals. Engineered with an ultra-concentrated grease-cutting formulation, this premium dishwashing bar slices through dried-on food particles, heavy cooking oils, and stubborn burnt marks instantly. It sheets water away cleanly to prevent unsightly water spots on your premium cutlery.","in stock","new","20.00 PKR","http://localhost:3001/products/777-sony-dish-wash-soap","http://localhost:3000/uploads/products/451ccb4f-99dc-408c-bd90-f5d75263afdf.jpeg","M. Essa Chemicals","http://localhost:3000/uploads/products/b1b1d873-2877-43b9-ad15-34a28ec2ca0a.jpeg","SKU-020","","","",""
"SKU-011-1-5LTR","Bleach Strong - Weight: 1.5Ltr","""Bleach Strong: Your Ultimate Clean. 99.9% Germ-Free & Powerful Stain Removal."" Your ultimate clean! Kills 99.9% of germs and provides powerful stain removal for immaculate whites and pristine, disinfected surfaces.Whether it's restoring the brilliant shine of your white fabrics or maintaining a perfectly disinfected home, M. Essa Chemicals Bleach Strong delivers industrial-grade performance. This advanced formulation targets and breaks down the toughest organic stains, bringing back original fabric brightness while remaining completely fabric-safe.","in stock","new","80.00 PKR","http://localhost:3001/products/bleach-cleaner","http://localhost:3000/uploads/products/de9655a5-c074-41b3-a932-01cb5f1ed10e.jpeg","M. Essa Chemicals","http://localhost:3000/uploads/products/b93b7fd3-0a20-4365-8a31-7743c041be78.jpeg","SKU-011","","","",""
"SKU-016-2LTR","Clean360 Bleach Exra Strong - Weight: 2Ltr","""Redefining Cleanliness: The Bleach Stronghold — Extra Strong Liquid for Natural Freshness & Sanitation."" Achieve the ultimate standard of heavy-duty deep purification with Clean 360 Bleach Extra Strong by M. Essa Chemicals. This commercial-grade, multi-purpose liquid bleach delivers intense stain elimination and multi-surface purification. It effortlessly restores stained fabrics while working as a high-potency sanitizer for non-porous bathroom floors, kitchen countertops, and drainage pipes.","in stock","new","180.00 PKR","http://localhost:3001/products/clean360-bleach-exra-strong","http://localhost:3000/uploads/products/8e8d394e-aab0-4c74-8390-41ea4845f784.jpeg","M. Essa Chemicals","http://localhost:3000/uploads/products/8c42fb20-dea6-43ee-a657-a107d153a0a7.jpeg","SKU-016","","","",""
"SKU-018-1-5LTR","Dish Wash Liquid - Weight: 1.5Ltr","""Redefining Kitchen Hygiene: Unmatched Grease Power. Gentle On Skin."" Upgrade your daily kitchen sanitation with the M. Essa Dish Wash Liquid Collection. Formulated to streamline washing routines, this highly concentrated fluid attacks thick fat deposits, oily cooking glazes, and dried residues immediately upon contact. Its quick-rinsing chemical structure prevents soapy residues from binding to your high-end cutlery, guaranteeing sparkling finishes.","in stock","new","79.98 PKR","http://localhost:3001/products/dish-wash-liquid","http://localhost:3000/uploads/products/2f73209e-0c72-4a77-ade9-8f2bbf5fa46a.jpeg","M. Essa Chemicals","http://localhost:3000/uploads/products/27fd70c6-7bb4-4988-9add-db66559a77a7.jpeg","SKU-018","","","",""
"SKU-021-1PCS","Dish Wash Scourer - Pack: 1Pcs","""Industrial Strength Scouring Power — Rust-Resistant & Heavy Duty"" Conquer the absolute toughest scrubbing challenges with the M. Essa Chemicals Heavy Duty Steel Scourer. Woven securely from premium-grade, rust-resistant stainless steel mesh strands, this high-performance scrub pad removes char, heavy carbon crusts, and baked-on grease residues from cast iron, ovens, and grills with minimal effort.","in stock","new","50.00 PKR","http://localhost:3001/products/dish-wash-scourer","http://localhost:3000/uploads/products/3e6b240a-52d2-4dfd-88b7-67de8376d54b.jpeg","M. Essa Chemicals","http://localhost:3000/uploads/products/77ecf402-9549-4c21-9695-e028c8d6b830.jpeg","SKU-021","","","",""
"SKU-001-1PCS","Euro Beauty Soap - Pack: 1Pcs","""Euro Fruity Soap — Burst of Natural Orange Freshness"" Experience an instant burst of citrus rejuvenation with Euro Fruity Soap. Enriched with premium natural orange extracts, this refreshing formula washes away impurities while charging your skin with vital antioxidants. Its vibrant, natural fragrance combats dullness and odor, leaving you feeling active, crisp, and clean after every shower.","in stock","new","110.00 PKR","http://localhost:3001/products/test-product","http://localhost:3000/uploads/products/1e8bdd31-f201-49d6-8110-1dd5bbd8238b.jpeg","M. Essa Chemicals","http://localhost:3000/uploads/products/fc8277ee-03f9-4d60-bb78-bc52f9ed2648.jpeg","SKU-001","","","",""
"SKU-007-1PCS","Fatty Brown Washing Soap - Pack: 1Pcs","""Powerful Brightness For Fabrics — Feel the Fatty Difference!"" Experience industrial-grade fabric stain extraction with Fatty Brown Laundry Soap by M. Essa Chemicals. Engineered with an advanced stain-lifting matrix, this heavy-duty laundry bar cuts deeply into thick collars, cuffs, grease marks, and embedded dirt without degrading the core fabric fibers. Its long-lasting formula ensures maximum usability, providing excellent economy for everyday household laundry.","in stock","new","79.98 PKR","http://localhost:3001/products/fatty-brown-washing-soap","http://localhost:3000/uploads/products/88802a3a-bf0b-414c-ade3-a68534a94924.jpeg","M. Essa Chemicals","http://localhost:3000/uploads/products/28d38daa-11c3-46a3-92d1-0465b11a9990.jpeg","SKU-007","","","",""
"SKU-012-1BOTTLE","Glass Cleaner (Clean 360) - Pack: 1Bottle","""Redefining Cleanliness: Unmatched Clarity. Streaks Gone."" Restore complete visibility and crystalline reflection to your home with Clean 360 Glass Cleaner by M. Essa Chemicals. Engineered to act rapidly on hard-to-clean glass frames, it effortlessly dissolves stubborn grease films, fingerprints, smudge paths, and water drops. Its specialized anti-fogging shield guarantees a long-lasting clarity that elevates regular maintenance windows with minimal manual wiping.","in stock","new","200.00 PKR","http://localhost:3001/products/glass-cleaner-clean-360","http://localhost:3000/uploads/products/f1d3659c-e8a6-4841-b2ba-16dcad409431.jpeg","M. Essa Chemicals","http://localhost:3000/uploads/products/aa875cd4-2523-4a96-b0ef-537be7171948.jpeg","SKU-012","","","",""
"SKU-003-ROSE","Hand Wash - Flavour: Rose","""Refresh & Protect: Three Scents, One Powerful Defense — Antibacterial and Gentle"" Shield your family with the ultimate combination of protection and care using the M. Essa Chemical Hand Wash Collection. Specially engineered to offer premium antibacterial defense, this formula eliminates everyday pathogens on contact while nourishing your skin. Perfect for regular use, it keeps hands incredibly soft, smooth, and revitalized without causing dry patches or irritation. Long-Lasting Fine Fragrances: Offers a selection of premium, captivating aromatic variations that keep your hands feeling fresh for hours.","in stock","new","200.00 PKR","http://localhost:3001/products/test-product-2","http://localhost:3000/uploads/products/36c2d557-9508-46cb-8d9e-66a810432851.jpeg","M. Essa Chemicals","http://localhost:3000/uploads/products/53b7909a-1f92-453c-8f07-c0a2fd947036.jpeg,http://localhost:3000/uploads/products/a932129a-8228-405a-8a1f-d0570efec49c.jpeg,http://localhost:3000/uploads/products/674d9cf2-3297-4b76-9ebf-e2099ad96212.jpeg","SKU-003","","","",""
"SKU-003-CAMAY","Hand Wash - Flavour: Camay","""Refresh & Protect: Three Scents, One Powerful Defense — Antibacterial and Gentle"" Shield your family with the ultimate combination of protection and care using the M. Essa Chemical Hand Wash Collection. Specially engineered to offer premium antibacterial defense, this formula eliminates everyday pathogens on contact while nourishing your skin. Perfect for regular use, it keeps hands incredibly soft, smooth, and revitalized without causing dry patches or irritation. Long-Lasting Fine Fragrances: Offers a selection of premium, captivating aromatic variations that keep your hands feeling fresh for hours.","in stock","new","200.00 PKR","http://localhost:3001/products/test-product-2","http://localhost:3000/uploads/products/36c2d557-9508-46cb-8d9e-66a810432851.jpeg","M. Essa Chemicals","http://localhost:3000/uploads/products/53b7909a-1f92-453c-8f07-c0a2fd947036.jpeg,http://localhost:3000/uploads/products/a932129a-8228-405a-8a1f-d0570efec49c.jpeg,http://localhost:3000/uploads/products/674d9cf2-3297-4b76-9ebf-e2099ad96212.jpeg","SKU-003","","","",""
